,user_id,book_id,rating
0,1,258,5
1,2,4081,4
2,2,260,5
3,2,9296,5
4,2,2318,3
5,2,26,4
6,2,315,3
7,2,33,4
8,2,301,5
9,2,2686,5
10,2,3753,5
11,2,8519,5
12,4,70,4
13,4,264,3
14,4,388,4
15,4,18,5
16,4,27,5
17,4,21,5
18,4,2,5
19,4,23,5
20,4,24,5
21,4,964,4
22,4,103,5
23,4,255,2
24,4,35,5
25,4,287,3
26,4,337,4
27,4,26,3
28,4,84,4
29,4,58,4
30,4,1117,3
31,4,660,3
32,4,111,2
33,4,5,4
34,4,413,4
35,4,8,4
36,4,2172,4
37,4,65,4
38,4,297,4
39,4,45,4
40,4,113,4
41,4,325,5
42,4,476,3
43,6,6351,4
44,8,2732,5
45,8,1432,3
46,8,479,4
47,8,3020,5
48,8,6195,4
49,8,614,4
50,8,4622,5
51,8,9114,5
52,8,194,4
53,8,14,5
54,8,2584,5
55,8,55,5
56,8,772,4
57,8,778,5
58,8,1937,3
59,8,493,5
60,8,362,5
61,8,1967,3
62,8,529,5
63,8,5425,5
64,4,1237,5
65,4,145,2
66,4,36,5
67,4,102,5
68,4,222,4
69,4,200,4
70,4,13,4
71,4,640,3
72,4,693,5
73,4,575,3
74,4,55,4
75,1,268,3
76,1,5556,3
77,1,3638,3
78,1,1796,5
79,1,867,3
80,1,47,3
81,1,2738,3
82,4,1296,3
83,4,50,4
84,4,87,5
85,4,86,4
86,4,123,4
87,4,32,4
88,4,28,3
89,4,33,3
90,4,42,5
91,4,249,4
92,4,158,4
93,4,373,4
94,4,184,4
95,4,495,4
96,4,350,3
97,4,492,4
98,4,219,4
99,4,288,4
100,4,11,4
101,4,245,5
102,4,301,4
103,4,1057,3
104,4,596,3
105,4,782,3
106,4,426,3
107,9,397,3
108,9,658,4
109,9,101,5
110,9,344,4
111,9,372,4
112,9,943,5
113,9,1923,4
114,9,122,4
115,9,212,5
116,9,1642,4
117,9,317,4
118,9,33,3
119,9,26,2
120,9,9,1
121,9,81,1
122,9,60,5
123,9,494,2
124,9,238,3
125,9,14,4
126,9,570,5
127,9,795,4
128,9,2193,2
129,9,11,1
130,9,3417,5
131,9,4139,5
132,9,1055,4
133,9,181,5
134,9,5,5
135,9,119,4
136,9,4815,5
137,9,1221,3
138,9,1301,2
139,9,1986,2
140,9,1057,2
141,9,1037,2
142,9,963,2
143,9,596,2
144,9,1388,2
145,9,7868,2
146,9,1407,2
147,9,227,2
148,9,213,2
149,9,587,4
150,9,664,4
151,9,476,2
152,9,325,2
153,9,407,5
154,9,1311,2
155,9,10,5
156,9,76,4
157,9,171,4
158,11,111,2
159,11,11,4
160,11,94,5
161,11,2559,5
162,11,522,3
163,11,258,3
164,11,408,3
165,11,516,4
166,11,6944,3
167,11,426,4
168,11,495,3
169,11,574,3
170,11,8,5
171,11,26,3
172,11,33,4
173,11,3560,5
174,11,233,5
175,11,325,4
176,11,3703,3
177,11,2079,4
178,11,1853,3
179,11,9606,3
180,11,7277,4
181,11,115,4
182,8,177,5
183,11,47,4
184,15,8,5
185,15,2,4
186,15,5,4
187,15,101,5
188,15,4,3
189,15,24,4
190,15,11,5
191,15,27,4
192,15,18,4
193,15,21,3
194,15,65,5
195,15,13,4
196,15,33,5
197,15,26,3
198,15,2903,4
199,15,230,4
200,15,10,5
201,15,76,5
202,15,471,4
203,15,483,5
204,15,2339,5
205,15,709,5
